ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Sale price,Categories,Tags,Images,Gallery,Download limit,Download expiry days,Parent,Grouped products,Attributes,Default attributes,Brands
,,ARGHS0525R,AURICULARES 525 RED ARGOM,,,,Ergonomicamente disenado para ajustarse a las afueras del canal auditivo. Los auriculares ArgomTech proporcionan un ajuste comodo para horas de placer...,"Ergonomicamente disenado para ajustarse a las afueras del canal auditivo. Los auriculares ArgomTech proporcionan un ajuste comodo para horas de placer auditivo.

ESPECIFICACIONES

Compatibles para iPod, iPhone, Blackberry o portable CD, DVD or MP3/MP4 player.
Presentan un diseño liviano y ergonómico con cancelación de ruido y sonido envolvente.

",,,,145.0,,,3.52,,Otros,"ajustarse, ergonómico, comodo, placer, o, diseño, especificaciones, envolvente., blackberry, los, de, or, auditivo., liviano, y, argomtech, red, un, ipod,, ergonomicamente, a, sonido, player., dvd, ajuste, auriculares, para, iphone,, cancelación, afueras, ruido, portable, cd,, del, proporcionan, mp3/mp4, compatibles, canal, 525, con, disenado, argom, horas, presentan, las",https://starcenter.com.uy/uploads/products/56-119427619.jpg,,,,,,,,Argom
,,ARGHS0525W,AURICULARES 525 BLANCO ARGOM,,,,Ergonómicamente diseñado para ajustarse a las afueras del canal auditivo. Los auriculares Argom proporcionan un ajuste cómodo para horas de placer aud...,"Ergonómicamente diseñado para ajustarse a las afueras del canal auditivo. Los auriculares Argom proporcionan un ajuste cómodo para horas de placer auditivo.

ESPECIFICACIONES

Compatibles para iPod, iPhone, Blackberry o portable CD, DVD or MP3/MP4 player.
Presentan un diseño liviano y ergonómico con cancelación de ruido y sonido envolvente.
",,,,21.0,,,3.03,,Otros,"ajustarse, ergonómico, blanco, placer, o, diseño, especificaciones, envolvente., blackberry, diseñado, los, cómodo, de, auditivo., or, liviano, y, un, ipod,, a, sonido, player., ergonómicamente, dvd, ajuste, auriculares, para, iphone,, cancelación, afueras, ruido, portable, cd,, del, proporcionan, mp3/mp4, compatibles, canal, 525, con, argom, horas, presentan, las",https://starcenter.com.uy/uploads/products/57-1438601643.jpg,,,,,,,,Argom
,,ARGHS0595B,AURICULAR DIVINE SOUND NEGRO ARGOM,,,,"El nuevo Audífono de ArgomTech te ofrece la mejor experiencia de audio con excelente sonido. Ofrece graves profundos, voces naturales y agudos preciso...","El nuevo Audífono de ArgomTech te ofrece la mejor experiencia de audio con excelente sonido. Ofrece graves profundos, voces naturales y agudos precisos, y también incluye tres tamaños de almohadillas de gel de silicona para un ajuste seguro y cómodo. Viene además con micrófono y botón para selección de llamada telefónica.

ESPECIFICACIONES

Tipo de Conector: Conector dorado de 4 polos 3.5mm 
Micrófono y botón selector de llamadas telefónicas 
Longitud del cable: 1.2m (4 feet) 
Membrana: 10mm Diameter 
Impedancia: 16Ohm ± 15% 
Respuesta de Frecuencia: 20Hz- 20KHz 
Sensibilidad: 105dB ± 3dB
Incluye 3 medidas de adaptadores de silicona para el oído",,,,320.0,,,7.05,,Cables,"(4, diameter, micrófono, y, tipo, 16ohm, nuevo, medidas, sensibilidad:, tres, 15%, el, 20hz-, graves, agudos, 3db, botón, con, 4, selector, especificaciones, almohadillas, adaptadores, frecuencia:, respuesta, oído, ±, seguro, membrana:, mejor, profundos,, divine, impedancia:, para, la, auricular, 1.2m, 10mm, 20khz, conector:, negro, de, sound, audífono, experiencia, dorado, gel, incluye, sonido., del, 105db, te, 3, naturales, además, audio, argom, 3.5mm, viene, selección, llamada, precisos,, argomtech, polos, un, silicona, cable:, feet), conector, tamaños, ajuste, llamadas, excelente, cómodo., ofrece, voces, también, longitud, telefónica., telefónicas",https://starcenter.com.uy/uploads/products/58-1444336775.jpg,,,,,,,,Argom
,,ARGHS0595K,AURICULAR DIVINE SOUND ROSA ARGOM,,,,"El nuevo Audífono de ArgomTech te ofrece la mejor experiencia de audio con excelente sonido. Ofrece graves profundos, voces naturales y agudos preciso...","El nuevo Audífono de ArgomTech te ofrece la mejor experiencia de audio con excelente sonido. Ofrece graves profundos, voces naturales y agudos precisos, y también incluye tres tamaños de almohadillas de gel de silicona para un ajuste seguro y cómodo. Viene además con micrófono y botón para selección de llamada telefónica.

ESPECIFICACIONES

Tipo de Conector: Conector dorado de 4 polos 3.5mm 
Micrófono y botón selector de llamadas telefónicas 
Longitud del cable: 1.2m (4 feet) 
Membrana: 10mm Diameter 
Impedancia: 16Ohm ± 15% 
Respuesta de Frecuencia: 20Hz- 20KHz 
Sensibilidad: 105dB ± 3dB
Incluye 3 medidas de adaptadores de silicona para el oído",,,,638.0,,,7.05,,Cables,"(4, diameter, micrófono, y, tipo, 16ohm, nuevo, medidas, sensibilidad:, tres, 15%, el, 20hz-, graves, agudos, 3db, botón, con, 4, selector, especificaciones, almohadillas, adaptadores, frecuencia:, respuesta, oído, ±, seguro, membrana:, mejor, profundos,, divine, impedancia:, para, la, auricular, 1.2m, 10mm, 20khz, conector:, de, sound, audífono, experiencia, dorado, gel, incluye, sonido., del, 105db, te, 3, naturales, además, audio, argom, 3.5mm, viene, selección, llamada, precisos,, argomtech, polos, un, silicona, cable:, feet), conector, tamaños, ajuste, rosa, llamadas, excelente, cómodo., ofrece, voces, también, longitud, telefónica., telefónicas",https://starcenter.com.uy/uploads/products/59-1444336746.jpg,,,,,,,,Argom
,,ARGKB7414,TECLADO BÁSICO  ARGOM,,,,"El teclado básico Argom es perfecto para todas sus necesidades de tipeo estándar, con garantía de calidad y durabilidad. Solo tiene que conectar y uti...","El teclado básico Argom es perfecto para todas sus necesidades de tipeo estándar, con garantía de calidad y durabilidad. Solo tiene que conectar y utilizar: no se pierde tiempo con complicada configuración o instalación. El diseño delgado lo hace fácil de transportar y usar en cualquier lugar. Un estilo elegante y de color negro va a mejorar su espacio de trabajo en su casa u oficina.

ESPECIFICACIONES

Diseño ergonómico, atractivo y confortable.
Tiempo de vida de las teclas: 10 millones de pulsos.
Configuración automática, conectarlo para comenzar a usarlo.
Plástico de larga duración y resistente a derrames de agua.
Teclas suave al tacto para una digitación uniforme y precisa.
Patas traseras ajustables para inclinación adecuada.
Compatibilidad con W98 / ME / 2000 / XP / Vista / Win7/Win8.
Presión teclas: 45 ±7g
Alimentación: ±5V 
Interface: USB
",,,,51.0,,,6.23,,Otros,"ajustables, patas, diseño, tipeo, ±7g, espacio, digitación, y, /, xp, usar, trabajo, a, agua., pulsos., sus, w98, tacto, alimentación:, ±5v, oficina., comenzar, elegante, el, teclado, lo, duración, es, que, pierde, cualquier, con, 45, color, uniforme, tiempo, teclas, estándar,, o, en, especificaciones, conectarlo, usarlo., usb, me, tiene, casa, conectar, 2000, vida, teclas:, instalación., para, calidad, estilo, va, mejorar, automática,, ergonómico,, lugar., durabilidad., no, compatibilidad, su, adecuada., negro, de, hace, atractivo, plástico, necesidades, larga, una, solo, vista, derrames, perfecto, presión, fácil, suave, transportar, argom, inclinación, se, interface:, configuración, delgado, precisa., complicada, todas, básico, un, millones, resistente, traseras, garantía, confortable., 10, al, u, utilizar:, win7/win8., las",https://starcenter.com.uy/uploads/products/70-1444336763.jpg,,,,,,,,Argom
,,ARGKB7436,TECLADO Y MOUSE INALAMBRICO ARGOM,,,,"El Teclado con Ratón Inalámbrico Combo en Español es perfecto para todas sus necesidades de escritura, contando además con garantía, calidad y durabil...","El Teclado con Ratón Inalámbrico Combo en Español es perfecto para todas sus necesidades de escritura, contando además con garantía, calidad y durabilidad. Disfrute del ratón óptico con conector USB y rueda de alta precisión con 1000 DPI. Solo tiene que conectarlos y utilizarlos: no es necesaria una complicada configuración o instalación. Su diseño de bajo perfil lo hace fácil de transportar y usar en cualquier lugar, mientras que su estilo elegante y color negro lo harán lucir apropiado en su escritorio en casa o la oficina.

Especificaciones

Teclado con Ratón Inalámbrico Combo en Español de 2.4Ghz
10 metros de rango
Incluye un pequeño receptor NANO con código inteligente
1000 DPI
Después de 10 minutos, va a modo de espera para ahorrar energía
Ajuste automático de frecuencia
5 millones de clics de vida útil
16 canales, uno a la vez
Medida del Tablero: 385*111*12mm
Medida del Mouse: 98* 53*22mm",,,,99.0,,,17.15,,Accesorios de Computadora,"diseño, contando, inalámbrico, y, usar, necesaria, a, precisión, sus, oficina., frecuencia, elegante, rango, el, teclado, lo, óptico, es, modo, que, garantía,, cualquier, rueda, con, lugar,, alta, color, perfil, o, en, canales,, especificaciones, 53*22mm, usb, lucir, tiene, casa, disfrute, después, vida, clics, vez, instalación., harán, para, minutos,, medida, calidad, estilo, mouse:, la, energía, va, automático, metros, durabilidad., ahorrar, escritura,, utilizarlos:, no, su, mouse, código, negro, de, útil, 98*, 5, hace, incluye, escritorio, espera, necesidades, una, solo, del, 385*111*12mm, perfecto, 16, ratón, fácil, además, transportar, argom, 2.4ghz, configuración, nano, 1000, dpi., complicada, inteligente, combo, tablero:, bajo, español, todas, un, conectarlos, millones, conector, dpi, pequeño, ajuste, 10, mientras, uno, inalambrico, receptor, apropiado",https://starcenter.com.uy/uploads/products/71-1990834092.jpg,,,,,,,,Argom
,,ARGKB7805,TECLADO MULTIMEDIA ARGOM,,,,"Disfruta de escribir en un teclado de buen diseño con plenitud y facilidad. Con interfaz USB, el ARG-KB-7805 le ofrece la mejor experiencia frente a s...","Disfruta de escribir en un teclado de buen diseño con plenitud y facilidad. Con interfaz USB, el ARG-KB-7805 le ofrece la mejor experiencia frente a su PC o portátil. Su estructura confortable de tecla ofrece máximo confort al escribir, y sus nueve teclas de acceso rápido hacen que sea fácil de controlar su música favorita o un vídeo o navegar en el internet.

ESPECIFICACIONES

Diseño atractivo y confortable 
Tiempo de vida de las teclas: 10 millones de pulsos
9 Teclas multimedia de acceso rápido 
Presión Teclas: 45 ±7g
Alimentación: ±5V 
Interface: USB
Compatibilidad con W98 / ME / 2000 / XP / Vista / Win7/Win8
",,,,2.0,,,6.76,,Otros,"9, estructura, compatibilidad, o, su, escribir, en, diseño, arg-kb-7805, acceso, vídeo, rápido, especificaciones, ±7g, portátil., de, usb, y, facilidad., /, xp, win7/win8, música, un, máximo, controlar, a, experiencia, disfruta, me, millones, hacen, nueve, sus, w98, atractivo, alimentación:, ±5v, 2000, plenitud, usb,, tecla, mejor, confortable, vida, teclas:, el, teclado, frente, escribir,, internet., 10, buen, que, la, pc, sea, interfaz, navegar, vista, ofrece, multimedia, pulsos, confort, presión, fácil, favorita, con, al, 45, argom, interface:, tiempo, le, las, teclas","https://starcenter.com.uy/uploads/products/72-1444336718.jpg, https://starcenter.com.uy/uploads/products/72-56-1444336719.jpg, https://starcenter.com.uy/uploads/products/72-57-1444336720.jpg, https://starcenter.com.uy/uploads/products/72-58-1444336722.jpg, https://starcenter.com.uy/uploads/products/72-59-1444336724.jpg, https://starcenter.com.uy/uploads/products/72-56-1444336719.jpg, https://starcenter.com.uy/uploads/products/72-57-1444336720.jpg, https://starcenter.com.uy/uploads/products/72-58-1444336722.jpg, https://starcenter.com.uy/uploads/products/72-59-1444336724.jpg","https://starcenter.com.uy/uploads/products/72-56-1444336719.jpg, https://starcenter.com.uy/uploads/products/72-57-1444336720.jpg, https://starcenter.com.uy/uploads/products/72-58-1444336722.jpg, https://starcenter.com.uy/uploads/products/72-59-1444336724.jpg",,,,,,,Argom
,,ARGKL5001,LINGA 1.8 M ARGOM,,,,"Enrollas el cable alrededor de un objeto inamovible y el candado a través del bucle. 
Asegúrese antes de comenzar que la combinación esté en 0-0-0-0 (...","Enrollas el cable alrededor de un objeto inamovible y el candado a través del bucle. 
Asegúrese antes de comenzar que la combinación esté en 0-0-0-0 (código de fábrica).
Ir al modo de reinicio: aprieta el botón en el costado de la combinación con un lápiz.
Gira las ruedas hasta establecer su combinación secreta personal. 
Suelta el botón del costado de la combinación y tu código secreto quedará establecido. 
",,,,27.0,,,8.82,,Cables,"tu, su, en, (código, secreta, combinación, inamovible, código, de, y, un, a, esté, establecer, hasta, través, enrollas, lápiz., comenzar, 0-0-0-0, 1.8, reinicio:, el, secreto, quedará, suelta, ruedas, ir, bucle., modo, fábrica)., que, costado, candado, la, botón, gira, del, m, aprieta, antes, personal., al, con, argom, alrededor, asegúrese, linga, cable, objeto, establecido., las",https://starcenter.com.uy/uploads/products/73-1444336761.jpg,,,,,,,,Argom
,,ARGMS0014B,MOUSE USB 3D BLACK ARGOM,,,,"3D 3 botones y cable.
Sensor óptico de 800DPI.
Rueda scroll ABS. 
Tamaño 95 x 50 x 33 mm. 
100mA max-5V.
W98/ME/2000/XP/Vista/Win7/Win8
","3D 3 botones y cable.
Sensor óptico de 800DPI.
Rueda scroll ABS. 
Tamaño 95 x 50 x 33 mm. 
100mA max-5V.
W98/ME/2000/XP/Vista/Win7/Win8
",,,,1.0,,,3.13,,Cables,"abs., 3d, mouse, x, de, 33, usb, y, black, max-5v., w98/me/2000/xp/vista/win7/win8, cable., sensor, óptico, tamaño, 95, 800dpi., 3, scroll, 50, 100ma, rueda, argom, mm., botones",https://starcenter.com.uy/uploads/products/74-1444336760.jpg,,,,,,,,Argom
,,ARGMS0014L,MOUSE USB 3D BLUE ARGOM,,,,"3D 3 botones y cable.
Sensor óptico de 800DPI.
Rueda scroll ABS. 
Tamaño 95 x 50 x 33 mm. 
100mA max-5V.
W98/ME/2000/XP/Vista/Win7/Win8
","3D 3 botones y cable.
Sensor óptico de 800DPI.
Rueda scroll ABS. 
Tamaño 95 x 50 x 33 mm. 
100mA max-5V.
W98/ME/2000/XP/Vista/Win7/Win8
",,,,6.0,,,3.13,,Cables,"abs., 3d, mouse, x, de, 33, usb, y, max-5v., w98/me/2000/xp/vista/win7/win8, cable., blue, sensor, óptico, tamaño, 95, 800dpi., 3, scroll, 50, 100ma, rueda, argom, mm., botones",https://starcenter.com.uy/uploads/products/75-1444336757.jpg,,,,,,,,Argom
,,ARGMS0032R,"MOUSE INALÁMBRICO 2,4G ROJO ARGOM",,,,"Mouse inalámbrico de 2.4GHz con 6 botones. Incluye botones de mando laterales (izquierdo y derecho) y botones de, frente, atrás, botón DPI y rueda scr...","Mouse inalámbrico de 2.4GHz con 6 botones. Incluye botones de mando laterales (izquierdo y derecho) y botones de, frente, atrás, botón DPI y rueda scroll que permite alta precisión, uso prolongado y desempeño asegurado.

ESPECIFICACIONES

Receptor Nano USB de mínimo tamaño.
Rango de alcance de 10 metros.
Resolución de 800/1600 DPI.
32 canales para evitar interferencias.
Tamaño 95 x 62 x 35 mm. 
2 x AAA batteries.
11mA max-3V.
W98/ME/2000/XP/Vista/Win7/Win8
",,,,17.0,,,5.58,,Accesorios de Computadora,"nano, 11ma, 800/1600, de,, 32, especificaciones, interferencias., batteries., dpi., mouse, resolución, x, frente,, inalámbrico, de, botones., derecho), usb, y, max-3v., incluye, prolongado, 62, asegurado., canales, w98/me/2000/xp/vista/win7/win8, (izquierdo, dpi, laterales, mínimo, rango, 10, rojo, para, tamaño, que, 95, 35, botón, aaa, 6, scroll, atrás,, 2,4g, receptor, desempeño, rueda, con, permite, tamaño., 2.4ghz, argom, alcance, evitar, alta, mm., 2, mando, metros., precisión,, botones, uso",https://starcenter.com.uy/uploads/products/79-1444336750.jpg,,,,,,,,Argom
